poet,poem_count
অতুলপ্রসাদ সেন,6
অনিতা অগ্নিহোত্রী,1
অন্নদাশঙ্কর রায়,1
অমিতাভ দাশগুপ্ত,16
অমিয় চক্রবর্তী,9
অরুণ মিত্র,1
অরুণাভ ঘোষ,1
অসীম সাহা,7
অ্যালেন গিন্সবার্গ,2
আ. ন. ম. বজলুর রশীদ,1
আখতারুজ্জামান আজাদ,4
আনিসুল হক,5
আবদুন নুর তুষার,1
আবদুল গাফফার চৌধুরী,1
আবদুল হাকিম,1
আবিদ আনোয়ার,41
আবু জাফর ওবায়দুল্লাহ,1
আবুল হাসান,11
আব্দুল্লাহ আবু সায়ীদ,1
আরণ্যক বসু,1
আল মাহমুদ,33
আলাউদ্দিন আল আজাদ,1
আসাদ চৌধুরী,5
আহসান হাবীব,15
ইমরান কামাল,1
ইসমাইল হোসেন সিরাজী,1
ঈশ্বরচন্দ্র গুপ্ত,4
উৎপল কুমার বসু,8
কাজী কাদের নেওয়াজ,2
কাজী নজরুল ইসলাম,383
কামিনী রায়,4
কায়কোবাদ,9
কালীপ্রসন্ন ঘোষ,1
কুসুমকুমারী দাশ,10
কৃষ্ণা বসু,1
খান মুহাম্মদ মইনুদ্দীন,1
গোবিন্দচন্দ্র দাস,2
গোলাম কিবরিয়া পিনু,5
গোলাম মোস্তফা,5
চণ্ডীদাস,3
জয় গোস্বামী,158
জসীম উদ্‌দীন,129
জামিল আশরাফ,1
জীবনানন্দ দাশ,390
টুটুল দাস,12
টোকন ঠাকুর,1
তসলিমা নাসরিন,80
তারাপদ রায়,24
দেওয়ান মমিনুল মউজদীন,37
দেবব্রত সিংহ,3
নবকৃষ্ণ ভট্টাচার্য,1
নবারুণ ভট্টাচার্য,10
নাজিম মাহমুদ,3
নাজিম হিকমত,1
নির্মলেন্দু গুণ,72
নীরেন্দ্রনাথ চক্রবর্তী,187
পাবলো নেরুদা,26
পূর্ণেন্দু পত্রী,184
প্রণবকুমার চট্টোপধ্যায়,1
প্রেমেন্দ্র মিত্র,6
ফয়জুল আলম পাপপু,1
ফররুখ আহমদ,5
বঙ্কিমচন্দ্র চট্টোপাধ্যায়,14
বন্দে আলী মিঞা,1
বিনয় মজুমদার,24
বিনায়ক বন্দ্যোপাধ্যায়,2
বিভাস রায় চৌধুরী,1
বিমল গুহ,1
বিষ্ণু দে,15
বিষ্ণু বিশ্বাস,6
বীথি চট্টোপাধ্যায়,2
বুদ্ধদেব বসু,8
ব্রত চক্রবর্তী,1
ভবানীপ্রসাদ মজুমদার,2
ভাস্কর চক্রবর্তী,9
মঞ্জুষ দাশগুপ্ত,1
মদনমোহন তর্কালঙ্কার,5
মলয় রায়চৌধুরী,10
মল্লিকা সেনগুপ্ত,5
মহাদেব সাহা,239
মাইকেল মধুসূদন দত্ত,129
মাকিদ হায়দার,6
মাহবুবুল আলম চৌধুরী,1
মুকুন্দরাম চক্রবর্তী,2
মুহম্মদ জাফর ইকবাল,31
মুহম্মদ নূরুল হুদা,1
মোহাম্মদ কামাল,2
মোহাম্মদ রফিক,1
মোহাম্মদ রফিকউজ্জামান,73
যতীন্দ্রমোহন বাগচী,13
যোগীন্দ্রনাথ সরকার,6
রজনীকান্ত সেন,3
রথো রাফি,1
রফিক আজাদ,12
রবীন্দ্রনাথ ঠাকুর,1503
রাজিয়া খাতুন চৌধুরাণী,1
রামনিধি গুপ্ত,3
রুদ্র গোস্বামী,12
রুদ্র মুহম্মদ শহীদুল্লাহ,28
রেদোয়ান মাসুদ,56
রোকনুজ্জামান খান,2
লালন শাহ,22
শক্তি চট্টোপাধ্যায়,61
শঙ্খ ঘোষ,24
শতাব্দী রায়,2
শহীদ কাদরী,7
শামসুর রাহমান,1075
শাহ মুহম্মদ সগীর,1
শিবরাম চক্রবর্তী,1
শুভ দাশগুপ্ত,4
শেখ ফজলুল করিম,6
শ্যামল চন্দ্র দাস,1
শ্রীজাত,17
সত্যেন্দ্রনাথ দত্ত,21
সলিল চৌধুরী,6
সিকান্দার আবু জাফর,3
সুকান্ত ভট্টাচার্য,135
সুকুমার বড়ুয়া,1
সুকুমার রায়,153
সুদীপ্ত বন্দ্যোপাধ্যায়,1
সুনির্মল বসু,4
সুনীল গঙ্গোপাধ্যায়,163
সুফিয়া কামাল,8
সুবোধ সরকার,18
সুব্রত পাল,3
সুব্রত পুরু,1
সুভাষ মুখোপাধ্যায়,16
সৃজন সেন,1
সৈয়দ শামসুল হক,26
স্মরণজিৎ চক্রবর্তী,10
হাসন রাজা,6
হুগো ফন হফমান্সথাল,1
হুমায়ুন আজাদ,26
হুমায়ুন কবির,1
হুমায়ূন আহমেদ,11
হেমচন্দ্র বন্দ্যোপাধ্যায়,1
হেলাল হাফিজ,63
